,X1,X2,corr,highest_corr,highest_k
279,6,26,,,['k =0']
280,6,27,,,['k =0']
281,6,28,,,['k =0']
282,6,29,,,['k =0']
283,6,30,,,['k =0']
284,6,31,,,['k =0']
285,6,32,,,['k =0']
286,6,33,,,['k =0']
287,6,34,,,['k =0']
288,6,35,,,['k =0']
289,6,36,,,['k =0']
290,6,37,,,['k =0']
291,6,38,,,['k =0']
292,6,39,,,['k =0']
293,6,40,,,['k =0']
294,6,41,,,['k =0']
295,6,42,,,['k =0']
296,6,43,,,['k =0']
297,6,44,,,['k =0']
298,6,45,,,['k =0']
299,6,46,,,['k =0']
300,6,47,,,['k =0']
301,6,48,,,['k =0']
302,6,49,,,['k =0']
303,6,50,,,['k =0']
304,6,51,,,['k =0']
305,6,52,,,['k =0']
306,6,53,,,['k =0']
307,6,54,,,['k =0']
308,6,55,,,['k =0']
309,7,8,,,['k =0']
310,7,9,,,['k =0']
311,7,10,,,['k =0']
312,7,11,,,['k =0']
313,7,12,,,['k =0']
314,7,13,,,['k =0']
315,7,14,,,['k =0']
316,7,15,,,['k =0']
317,7,16,,,['k =0']
318,7,17,,,['k =0']
319,7,18,,,['k =0']
320,7,19,,,['k =0']
321,7,20,,,['k =0']
322,7,21,,,['k =0']
323,7,22,,,['k =0']
324,7,23,,,['k =0']
325,7,24,,,['k =0']
326,7,25,,,['k =0']
327,7,26,,,['k =0']
328,7,27,,,['k =0']
329,7,28,,,['k =0']
330,7,29,,,['k =0']
331,7,30,,,['k =0']
332,7,31,,,['k =0']
333,7,32,,,['k =0']
334,7,33,,,['k =0']
335,7,34,,,['k =0']
336,7,35,,,['k =0']
337,7,36,,,['k =0']
338,7,37,,,['k =0']
339,7,38,,,['k =0']
340,7,39,,,['k =0']
341,7,40,,,['k =0']
342,7,41,,,['k =0']
343,7,42,,,['k =0']
344,7,43,,,['k =0']
345,7,44,,,['k =0']
346,7,45,,,['k =0']
347,7,46,,,['k =0']
348,7,47,,,['k =0']
349,7,48,,,['k =0']
350,7,49,,,['k =0']
351,7,50,,,['k =0']
352,7,51,,,['k =0']
353,7,52,,,['k =0']
354,7,53,,,['k =0']
355,7,54,,,['k =0']
356,7,55,,,['k =0']
357,8,9,,,['k =0']
358,8,10,,,['k =0']
359,8,11,,,['k =0']
360,8,12,,,['k =0']
361,8,13,,,['k =0']
362,8,14,,,['k =0']
363,8,15,,,['k =0']
364,8,16,,,['k =0']
365,8,17,,,['k =0']
366,8,18,,,['k =0']
367,8,19,,,['k =0']
368,8,20,,,['k =0']
369,8,21,,,['k =0']
370,8,22,,,['k =0']
371,8,23,,,['k =0']
372,8,24,,,['k =0']
373,8,25,,,['k =0']
374,8,26,,,['k =0']
375,8,27,,,['k =0']
376,8,28,,,['k =0']
377,8,29,,,['k =0']
